FeatureName,RO URI
original_shape_MajorAxisLength,www.radiomics.org/RO/TDIC
original_shape_Sphericity,www.radiomics.org/RO/QCFX
original_shape_LeastAxisLength,www.radiomics.org/RO/7J51
original_shape_Elongation,www.radiomics.org/RO/Q3CK
original_shape_SurfaceVolumeRatio,www.radiomics.org/RO/2PR5
original_shape_Maximum2DDiameterSlice,www.radiomics.org/RO/2130
original_shape_Flatness,www.radiomics.org/RO/N17B
original_shape_SurfaceArea,www.radiomics.org/RO/C0JK
original_shape_MinorAxisLength,www.radiomics.org/RO/P9VJ
original_shape_Maximum2DDiameterColumn,www.radiomics.org/RO/2150
original_shape_Maximum2DDiameterRow,www.radiomics.org/RO/2140
original_shape_VoxelVolume,www.radiomics.org/RO/RNU0
original_glcm_MCC,www.radiomics.org/RO/xxx
